id,operation,admin0Name,admin0Pcode,admin1Name,admin1Pcode,admin2Name,admin2Pcode,adminLevel,numPresentIdpInd,reportingDate,yearReportingDate,monthReportingDate,roundNumber,displacementReason,numberMales,numberFemales,idpOriginAdmin1Name,idpOriginAdmin1Pcode,assessmentType,operationStatus
,Countrywide monitoring,Ethiopia,ETH,,,,,0,7823,2017-12-31T00:00:00,2017,12,8,Conflict,4088,3735,Afar,ET02,SA,Active
,Countrywide monitoring,Ethiopia,ETH,,,,,0,21668,2017-12-31T00:00:00,2017,12,8,Conflict,11490,10178,Amhara,ET03,SA,Active
,Countrywide monitoring,Ethiopia,ETH,,,,,0,15420,2017-12-31T00:00:00,2017,12,8,Conflict,7046,8374,Gambela,ET12,SA,Active
,Countrywide monitoring,Ethiopia,ETH,,,,,0,772924,2017-12-31T00:00:00,2017,12,8,Conflict,375655,397269,Oromia,ET04,SA,Active
,Countrywide monitoring,Ethiopia,ETH,,,,,0,308300,2017-12-31T00:00:00,2017,12,8,Conflict,152469,155831,Somali,ET05,SA,Active
,Countrywide monitoring,Ethiopia,ETH,,,,,0,6984,2017-12-31T00:00:00,2017,12,8,Conflict,3170,3814,Tigray,ET01,SA,Active
,Countrywide monitoring,Ethiopia,ETH,,,,,0,4406,2017-12-31T00:00:00,2017,12,8,Economic reasons,2253,2153,Oromia,ET04,SA,Active
,Countrywide monitoring,Ethiopia,ETH,,,,,0,1455,2017-12-31T00:00:00,2017,12,8,Economic reasons,730,725,Somali,ET05,SA,Active
,Countrywide monitoring,Ethiopia,ETH,,,,,0,49713,2017-12-31T00:00:00,2017,12,8,Natural disaster,24791,24922,Afar,ET02,SA,Active
,Countrywide monitoring,Ethiopia,ETH,,,,,0,3451,2017-12-31T00:00:00,2017,12,8,Natural disaster,1590,1861,Amhara,ET03,SA,Active
,Countrywide monitoring,Ethiopia,ETH,,,,,0,6150,2017-12-31T00:00:00,2017,12,8,Natural disaster,3130,3020,Gambela,ET12,SA,Active
,Countrywide monitoring,Ethiopia,ETH,,,,,0,143991,2017-12-31T00:00:00,2017,12,8,Natural disaster,71677,72314,Oromia,ET04,SA,Active
,Countrywide monitoring,Ethiopia,ETH,,,,,0,346025,2017-12-31T00:00:00,2017,12,8,Natural disaster,166910,179115,Somali,ET05,SA,Active
,Countrywide monitoring,Ethiopia,ETH,,,,,0,1481,2017-12-31T00:00:00,2017,12,8,Natural disaster,829,652,Tigray,ET01,SA,Active
,Countrywide monitoring,Ethiopia,ETH,,,,,0,6354,2017-12-31T00:00:00,2017,12,8,Other reason,3066,3288,Oromia,ET04,SA,Active
,Countrywide monitoring,Ethiopia,ETH,,,,,0,897,2018-02-28T00:00:00,2018,2,9,Conflict,583,314,Not available,Not available,SA,Active
,Countrywide monitoring,Ethiopia,ETH,,,,,0,2304,2018-02-28T00:00:00,2018,2,9,Conflict,1211,1093,Afar,ET02,SA,Active
,Countrywide monitoring,Ethiopia,ETH,,,,,0,24265,2018-02-28T00:00:00,2018,2,9,Conflict,13081,11184,Amhara,ET03,SA,Active
,Countrywide monitoring,Ethiopia,ETH,,,,,0,20234,2018-02-28T00:00:00,2018,2,9,Conflict,10188,10046,Gambela,ET12,SA,Active
,Countrywide monitoring,Ethiopia,ETH,,,,,0,818885,2018-02-28T00:00:00,2018,2,9,Conflict,401622,417263,Oromia,ET04,SA,Active
,Countrywide monitoring,Ethiopia,ETH,,,,,0,344285,2018-02-28T00:00:00,2018,2,9,Conflict,169065,175220,Somali,ET05,SA,Active
,Countrywide monitoring,Ethiopia,ETH,,,,,0,6986,2018-02-28T00:00:00,2018,2,9,Conflict,3170,3816,Tigray,ET01,SA,Active
,Countrywide monitoring,Ethiopia,ETH,,,,,0,5688,2018-02-28T00:00:00,2018,2,9,Natural disaster,2832,2856,Not available,Not available,SA,Active
,Countrywide monitoring,Ethiopia,ETH,,,,,0,43033,2018-02-28T00:00:00,2018,2,9,Natural disaster,21427,21606,Afar,ET02,SA,Active
,Countrywide monitoring,Ethiopia,ETH,,,,,0,2993,2018-02-28T00:00:00,2018,2,9,Natural disaster,1507,1486,Amhara,ET03,SA,Active
,Countrywide monitoring,Ethiopia,ETH,,,,,0,2675,2018-02-28T00:00:00,2018,2,9,Natural disaster,1418,1257,Gambela,ET12,SA,Active
,Countrywide monitoring,Ethiopia,ETH,,,,,0,92110,2018-02-28T00:00:00,2018,2,9,Natural disaster,45828,46282,Oromia,ET04,SA,Active
,Countrywide monitoring,Ethiopia,ETH,,,,,0,344498,2018-02-28T00:00:00,2018,2,9,Natural disaster,171456,173042,Somali,ET05,SA,Active
,Countrywide monitoring,Ethiopia,ETH,,,,,0,1168,2018-02-28T00:00:00,2018,2,9,Natural disaster,673,495,Tigray,ET01,SA,Active
,Countrywide monitoring,Ethiopia,ETH,,,,,0,5682,2018-02-28T00:00:00,2018,2,9,Other reason,2911,2771,Afar,ET02,SA,Active
,Countrywide monitoring,Ethiopia,ETH,,,,,0,106,2018-02-28T00:00:00,2018,2,9,Other reason,46,60,Amhara,ET03,SA,Active
,Countrywide monitoring,Ethiopia,ETH,,,,,0,25345,2018-02-28T00:00:00,2018,2,9,Other reason,12478,12867,Oromia,ET04,SA,Active
,Countrywide monitoring,Ethiopia,ETH,,,,,0,1307,2018-02-28T00:00:00,2018,2,9,Other reason,666,641,Somali,ET05,SA,Active
,Countrywide monitoring,Ethiopia,ETH,,,,,0,2671,2018-04-30T00:00:00,2018,4,10,Conflict,1431,1240,Afar,ET02,SA,Active
,Countrywide monitoring,Ethiopia,ETH,,,,,0,18686,2018-04-30T00:00:00,2018,4,10,Conflict,10565,8121,Amhara,ET03,SA,Active
,Countrywide monitoring,Ethiopia,ETH,,,,,0,1596,2018-04-30T00:00:00,2018,4,10,Conflict,824,772,Benishangul-Gumuz,ET06,SA,Active
,Countrywide monitoring,Ethiopia,ETH,,,,,0,12277,2018-04-30T00:00:00,2018,4,10,Conflict,6012,6265,Gambela,ET12,SA,Active
,Countrywide monitoring,Ethiopia,ETH,,,,,0,705475,2018-04-30T00:00:00,2018,4,10,Conflict,340830,364645,Oromia,ET04,SA,Active
,Countrywide monitoring,Ethiopia,ETH,,,,,0,326010,2018-04-30T00:00:00,2018,4,10,Conflict,159885,166125,Somali,ET05,SA,Active
